@relation 'RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R3,2,6-7,5,8,4,1_clustered'

@attribute Instance_number numeric
@attribute ﻿Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {0,1}
@attribute Age {0,1,2,3,4}
@attribute Fare {0,1,2,3}
@attribute Has_Cabin {0,1}
@attribute FamilySize {1,2,3,4,5,6,7,8,11}
@attribute IsAlone {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
0,0,2,1,1,1,0,1,1,cluster0
1,0,1,1,2,3,1,2,0,cluster1
2,0,3,0,2,1,0,1,1,cluster4
3,0,3,1,1,0,0,1,1,cluster4
4,0,2,1,2,2,0,1,1,cluster0
5,1,3,1,1,0,0,1,1,cluster4
6,1,1,0,3,3,1,2,0,cluster1
7,1,2,0,1,2,0,6,0,cluster3
8,0,2,1,1,1,0,1,1,cluster0
9,1,2,0,2,2,0,2,0,cluster3
10,1,3,0,1,0,0,1,1,cluster4
11,0,2,0,1,1,0,1,1,cluster0
12,0,1,1,1,3,1,1,1,cluster2
13,0,3,1,1,2,0,2,0,cluster3
14,1,3,0,1,1,0,1,1,cluster4
15,0,3,0,2,1,0,2,0,cluster3
16,0,3,1,2,1,0,1,1,cluster4
17,0,3,1,1,1,0,1,1,cluster4
18,1,1,0,1,3,1,5,0,cluster1
19,1,2,1,1,1,0,1,1,cluster0
20,0,1,1,3,3,1,2,0,cluster1
21,1,1,0,2,3,1,4,0,cluster1
22,1,2,0,2,1,0,1,1,cluster0
23,1,2,0,1,1,0,2,0,cluster3
24,0,2,1,1,1,0,1,1,cluster0
25,0,3,1,1,0,0,1,1,cluster4
26,0,3,1,1,0,0,1,1,cluster4
27,0,3,1,1,1,0,1,1,cluster4
28,0,1,1,1,0,0,1,1,cluster4
29,1,1,0,2,3,1,2,0,cluster1
30,1,1,0,1,3,1,1,1,cluster2
31,0,3,1,2,1,0,1,1,cluster4
32,0,2,1,1,0,0,1,1,cluster4
33,1,3,1,1,0,0,1,1,cluster4
34,0,1,1,2,2,1,1,1,cluster2
35,1,3,0,0,1,0,2,0,cluster3
36,0,2,1,3,3,0,3,0,cluster3
37,0,3,1,2,2,0,2,0,cluster3
38,0,3,1,2,0,0,1,1,cluster4
39,0,3,1,1,3,0,1,1,cluster4
40,0,3,1,1,2,0,1,1,cluster4
41,0,3,1,1,0,0,2,0,cluster3
42,1,1,0,0,3,1,4,0,cluster1
43,0,2,1,1,0,0,1,1,cluster4
44,1,1,1,3,3,1,2,0,cluster1
45,0,3,1,0,2,0,6,0,cluster3
46,1,3,0,1,0,0,1,1,cluster4
47,1,1,1,2,3,1,2,0,cluster1
48,0,3,1,1,0,0,1,1,cluster4
49,0,3,1,0,3,0,6,0,cluster3
50,1,1,0,1,3,1,2,0,cluster1
51,0,3,1,1,2,0,3,0,cluster3
52,0,1,1,1,3,1,2,0,cluster1
53,1,1,0,2,3,1,2,0,cluster1
54,0,1,1,2,0,1,1,1,cluster2
55,1,3,0,1,2,1,3,0,cluster3
56,1,3,1,2,1,0,1,1,cluster4
57,0,2,1,3,1,0,1,1,cluster0
58,1,3,1,1,1,0,1,1,cluster4
59,0,1,1,3,3,1,1,1,cluster2
60,0,3,1,1,1,0,1,1,cluster4
61,0,3,1,1,1,0,1,1,cluster4
62,1,1,1,3,3,0,3,0,cluster1
63,0,3,1,2,0,0,1,1,cluster4
64,0,2,1,0,1,0,1,1,cluster0
65,1,2,0,3,1,0,1,1,cluster0
66,0,3,1,1,0,0,1,1,cluster4
67,1,2,0,1,1,0,1,1,cluster0
68,1,3,1,1,1,0,1,1,cluster4
69,0,3,1,2,1,0,1,1,cluster4
70,1,3,0,0,2,0,4,0,cluster3
71,1,1,0,0,3,1,2,0,cluster1
72,1,3,1,1,0,0,1,1,cluster4
73,0,2,1,1,2,0,2,0,cluster3
74,0,3,0,1,0,0,1,1,cluster4
75,1,3,0,2,0,0,1,1,cluster4
76,0,3,1,1,0,0,1,1,cluster4
77,1,2,0,1,1,0,1,1,cluster0
78,1,3,1,2,3,0,1,1,cluster4
79,0,2,0,1,2,0,2,0,cluster3
80,0,3,1,0,2,0,1,1,cluster4
81,1,1,0,2,3,1,2,0,cluster1
82,1,3,0,0,1,0,1,1,cluster4
83,0,2,1,1,1,0,1,1,cluster0
84,0,2,1,3,1,0,1,1,cluster0
85,0,3,1,2,0,0,1,1,cluster4
86,0,1,1,2,3,1,2,0,cluster1
87,0,3,1,1,1,0,1,1,cluster4
88,1,3,0,1,2,0,3,0,cluster3
89,1,3,1,0,2,0,3,0,cluster3
90,0,3,1,1,0,0,1,1,cluster4
91,0,3,1,1,2,0,2,0,cluster3
92,0,3,1,1,0,0,1,1,cluster4
93,1,2,0,1,2,0,1,1,cluster0
94,0,1,1,1,3,1,1,1,cluster2
95,0,3,1,1,0,0,1,1,cluster4
96,0,3,0,1,1,0,2,0,cluster3
97,1,3,1,1,2,0,3,0,cluster3
98,1,3,1,1,0,0,1,1,cluster4
99,1,2,0,0,2,0,2,0,cluster3
100,1,1,0,2,2,1,1,1,cluster2
101,0,3,0,2,3,0,6,0,cluster3
102,1,1,1,2,3,1,2,0,cluster1
103,1,3,0,0,0,0,1,1,cluster4
104,0,3,0,0,0,0,1,1,cluster4
105,0,3,1,1,0,0,1,1,cluster4
106,0,3,1,1,0,0,1,1,cluster4
107,0,3,1,0,3,0,5,0,cluster3
108,1,3,0,2,0,0,1,1,cluster4
109,1,3,0,2,2,1,3,0,cluster3
110,0,3,1,1,0,0,1,1,cluster4
111,1,3,0,1,0,0,1,1,cluster4
112,0,3,1,0,3,0,6,0,cluster3
113,0,3,1,1,1,0,1,1,cluster4
114,0,3,1,1,0,0,1,1,cluster4
115,0,3,1,1,1,0,1,1,cluster4
