@relation 'RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R3,2,6-7,5,8,4,1_clustered'

@attribute Instance_number numeric
@attribute ﻿Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {0,1}
@attribute Age {0,1,2,3,4}
@attribute Fare {0,1,2,3}
@attribute Has_Cabin {0,1}
@attribute FamilySize {1,2,3,4,5,6,7,8,11}
@attribute IsAlone {0,1}
@attribute Cluster {cluster0,cluster1}

@data
0,0,2,1,1,1,0,1,1,cluster0
1,0,1,1,2,3,1,2,0,cluster1
2,0,3,0,2,1,0,1,1,cluster0
3,0,3,1,1,0,0,1,1,cluster0
4,0,2,1,2,2,0,1,1,cluster0
5,1,3,1,1,0,0,1,1,cluster0
6,1,1,0,3,3,1,2,0,cluster1
7,1,2,0,1,2,0,6,0,cluster1
8,0,2,1,1,1,0,1,1,cluster0
9,1,2,0,2,2,0,2,0,cluster1
10,1,3,0,1,0,0,1,1,cluster0
11,0,2,0,1,1,0,1,1,cluster0
12,0,1,1,1,3,1,1,1,cluster0
13,0,3,1,1,2,0,2,0,cluster1
14,1,3,0,1,1,0,1,1,cluster0
15,0,3,0,2,1,0,2,0,cluster1
16,0,3,1,2,1,0,1,1,cluster0
17,0,3,1,1,1,0,1,1,cluster0
18,1,1,0,1,3,1,5,0,cluster1
19,1,2,1,1,1,0,1,1,cluster0
20,0,1,1,3,3,1,2,0,cluster1
21,1,1,0,2,3,1,4,0,cluster1
22,1,2,0,2,1,0,1,1,cluster0
23,1,2,0,1,1,0,2,0,cluster1
24,0,2,1,1,1,0,1,1,cluster0
25,0,3,1,1,0,0,1,1,cluster0
26,0,3,1,1,0,0,1,1,cluster0
27,0,3,1,1,1,0,1,1,cluster0
28,0,1,1,1,0,0,1,1,cluster0
29,1,1,0,2,3,1,2,0,cluster1
30,1,1,0,1,3,1,1,1,cluster0
31,0,3,1,2,1,0,1,1,cluster0
32,0,2,1,1,0,0,1,1,cluster0
33,1,3,1,1,0,0,1,1,cluster0
34,0,1,1,2,2,1,1,1,cluster0
35,1,3,0,0,1,0,2,0,cluster1
36,0,2,1,3,3,0,3,0,cluster0
37,0,3,1,2,2,0,2,0,cluster1
38,0,3,1,2,0,0,1,1,cluster0
39,0,3,1,1,3,0,1,1,cluster0
40,0,3,1,1,2,0,1,1,cluster0
41,0,3,1,1,0,0,2,0,cluster0
42,1,1,0,0,3,1,4,0,cluster1
43,0,2,1,1,0,0,1,1,cluster0
44,1,1,1,3,3,1,2,0,cluster1
45,0,3,1,0,2,0,6,0,cluster1
46,1,3,0,1,0,0,1,1,cluster0
47,1,1,1,2,3,1,2,0,cluster1
48,0,3,1,1,0,0,1,1,cluster0
49,0,3,1,0,3,0,6,0,cluster0
50,1,1,0,1,3,1,2,0,cluster1
51,0,3,1,1,2,0,3,0,cluster0
52,0,1,1,1,3,1,2,0,cluster0
53,1,1,0,2,3,1,2,0,cluster1
54,0,1,1,2,0,1,1,1,cluster0
55,1,3,0,1,2,1,3,0,cluster1
56,1,3,1,2,1,0,1,1,cluster0
57,0,2,1,3,1,0,1,1,cluster0
58,1,3,1,1,1,0,1,1,cluster0
59,0,1,1,3,3,1,1,1,cluster0
60,0,3,1,1,1,0,1,1,cluster0
61,0,3,1,1,1,0,1,1,cluster0
62,1,1,1,3,3,0,3,0,cluster0
63,0,3,1,2,0,0,1,1,cluster0
64,0,2,1,0,1,0,1,1,cluster0
65,1,2,0,3,1,0,1,1,cluster0
66,0,3,1,1,0,0,1,1,cluster0
67,1,2,0,1,1,0,1,1,cluster0
68,1,3,1,1,1,0,1,1,cluster0
69,0,3,1,2,1,0,1,1,cluster0
70,1,3,0,0,2,0,4,0,cluster1
71,1,1,0,0,3,1,2,0,cluster1
72,1,3,1,1,0,0,1,1,cluster0
73,0,2,1,1,2,0,2,0,cluster1
74,0,3,0,1,0,0,1,1,cluster0
75,1,3,0,2,0,0,1,1,cluster0
76,0,3,1,1,0,0,1,1,cluster0
77,1,2,0,1,1,0,1,1,cluster0
78,1,3,1,2,3,0,1,1,cluster0
79,0,2,0,1,2,0,2,0,cluster1
80,0,3,1,0,2,0,1,1,cluster0
81,1,1,0,2,3,1,2,0,cluster1
82,1,3,0,0,1,0,1,1,cluster0
83,0,2,1,1,1,0,1,1,cluster0
84,0,2,1,3,1,0,1,1,cluster0
85,0,3,1,2,0,0,1,1,cluster0
86,0,1,1,2,3,1,2,0,cluster1
87,0,3,1,1,1,0,1,1,cluster0
88,1,3,0,1,2,0,3,0,cluster1
89,1,3,1,0,2,0,3,0,cluster1
90,0,3,1,1,0,0,1,1,cluster0
91,0,3,1,1,2,0,2,0,cluster1
92,0,3,1,1,0,0,1,1,cluster0
93,1,2,0,1,2,0,1,1,cluster0
94,0,1,1,1,3,1,1,1,cluster0
95,0,3,1,1,0,0,1,1,cluster0
96,0,3,0,1,1,0,2,0,cluster1
97,1,3,1,1,2,0,3,0,cluster0
98,1,3,1,1,0,0,1,1,cluster0
99,1,2,0,0,2,0,2,0,cluster1
100,1,1,0,2,2,1,1,1,cluster1
101,0,3,0,2,3,0,6,0,cluster1
102,1,1,1,2,3,1,2,0,cluster1
103,1,3,0,0,0,0,1,1,cluster0
104,0,3,0,0,0,0,1,1,cluster0
105,0,3,1,1,0,0,1,1,cluster0
106,0,3,1,1,0,0,1,1,cluster0
107,0,3,1,0,3,0,5,0,cluster0
108,1,3,0,2,0,0,1,1,cluster0
109,1,3,0,2,2,1,3,0,cluster1
110,0,3,1,1,0,0,1,1,cluster0
111,1,3,0,1,0,0,1,1,cluster0
112,0,3,1,0,3,0,6,0,cluster0
113,0,3,1,1,1,0,1,1,cluster0
114,0,3,1,1,0,0,1,1,cluster0
115,0,3,1,1,1,0,1,1,cluster0
116,0,1,1,1,3,1,3,0,cluster0
