@relation RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute ﻿Survived {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
0,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster1
1,5.196152,0,1.732051,1.732051,-1.732051,-1.732051,0,0,0,1.732051,0,cluster2
2,1.732051,0,1.732051,1.732051,-1.732051,0,0,-3.464102,0,0,0,cluster0
3,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
4,1.732051,0,1.732051,1.732051,-1.732051,0,-1.732051,-5.196152,0,1.732051,0,cluster0
5,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,1,cluster1
6,3.464102,0,1.732051,0,0,-1.732051,0,1.732051,0,0,1,cluster2
7,1.732051,3.464102,1.732051,0,0,-1.732051,-1.732051,0,0,0,1,cluster6
8,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster1
9,5.196152,0,3.464102,0,0,0,1.732051,0,0,3.464102,1,cluster5
10,0,1.732051,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-3.464102,1,cluster1
11,0,1.732051,0,1.732051,-1.732051,0,-3.464102,-3.464102,0,-1.732051,0,cluster1
12,0,1.732051,0,3.464102,-1.732051,-1.732051,-5.196152,-3.464102,0,-3.464102,0,cluster1
13,3.464102,1.732051,5.196152,0,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster5
14,0,1.732051,1.732051,1.732051,-1.732051,0,-3.464102,-3.464102,0,-3.464102,1,cluster1
15,5.196152,0,3.464102,0,-1.732051,0,1.732051,0,0,1.732051,0,cluster5
16,1.732051,0,1.732051,1.732051,-3.464102,0,-1.732051,-5.196152,0,0,0,cluster0
17,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster1
18,1.732051,1.732051,-1.732051,3.464102,0,-1.732051,-1.732051,0,0,-1.732051,1,cluster6
19,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,1,cluster1
20,3.464102,0,1.732051,0,-1.732051,-1.732051,-1.732051,0,0,0,0,cluster2
