@relation RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute ﻿Survived {0,1}
@attribute Cluster {cluster0,cluster1}

@data
0,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
1,5.196152,0,1.732051,1.732051,-1.732051,-1.732051,0,0,0,1.732051,0,cluster1
2,1.732051,0,1.732051,1.732051,-1.732051,0,0,-3.464102,0,0,0,cluster0
3,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
4,1.732051,0,1.732051,1.732051,-1.732051,0,-1.732051,-5.196152,0,1.732051,0,cluster0
5,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,1,cluster0
6,3.464102,0,1.732051,0,0,-1.732051,0,1.732051,0,0,1,cluster1
7,1.732051,3.464102,1.732051,0,0,-1.732051,-1.732051,0,0,0,1,cluster1
8,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
9,5.196152,0,3.464102,0,0,0,1.732051,0,0,3.464102,1,cluster1
10,0,1.732051,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-3.464102,1,cluster0
11,0,1.732051,0,1.732051,-1.732051,0,-3.464102,-3.464102,0,-1.732051,0,cluster0
12,0,1.732051,0,3.464102,-1.732051,-1.732051,-5.196152,-3.464102,0,-3.464102,0,cluster0
13,3.464102,1.732051,5.196152,0,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster1
14,0,1.732051,1.732051,1.732051,-1.732051,0,-3.464102,-3.464102,0,-3.464102,1,cluster0
15,5.196152,0,3.464102,0,-1.732051,0,1.732051,0,0,1.732051,0,cluster1
16,1.732051,0,1.732051,1.732051,-3.464102,0,-1.732051,-5.196152,0,0,0,cluster0
17,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
18,1.732051,1.732051,-1.732051,3.464102,0,-1.732051,-1.732051,0,0,-1.732051,1,cluster1
19,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,1,cluster0
20,3.464102,0,1.732051,0,-1.732051,-1.732051,-1.732051,0,0,0,0,cluster1
21,5.196152,0,0,1.732051,1.732051,-1.732051,1.732051,1.732051,0,1.732051,1,cluster1
22,1.732051,0,0,1.732051,-1.732051,0,0,-3.464102,0,1.732051,1,cluster0
23,3.464102,1.732051,1.732051,0,-1.732051,0,-1.732051,0,0,0,1,cluster1
24,0,1.732051,0,1.732051,-3.464102,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
25,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
26,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
27,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
28,-1.732051,1.732051,0,3.464102,-1.732051,0,-3.464102,-3.464102,1.732051,-3.464102,0,cluster0
29,5.196152,0,1.732051,1.732051,0,-1.732051,1.732051,1.732051,0,1.732051,1,cluster1
30,0,1.732051,0,3.464102,0,-1.732051,-3.464102,-1.732051,0,-3.464102,1,cluster0
31,1.732051,0,1.732051,1.732051,-3.464102,0,-1.732051,-5.196152,0,0,0,cluster0
32,0,1.732051,0,3.464102,-1.732051,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
33,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,1,cluster0
34,1.732051,0,1.732051,3.464102,-1.732051,0,0,-3.464102,0,0,0,cluster0
35,3.464102,0,3.464102,0,-1.732051,0,-1.732051,0,0,0,1,cluster1
36,1.732051,-1.732051,0,-3.464102,-1.732051,-1.732051,-3.464102,-1.732051,1.732051,3.464102,0,cluster1
37,5.196152,0,5.196152,0,-1.732051,0,0,-1.732051,0,1.732051,0,cluster1
38,1.732051,0,1.732051,3.464102,-1.732051,0,-1.732051,-5.196152,0,0,0,cluster0
39,0,1.732051,1.732051,1.732051,-1.732051,-1.732051,-6.928203,-5.196152,0,-3.464102,0,cluster0
40,0,1.732051,3.464102,1.732051,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
41,3.464102,1.732051,3.464102,1.732051,-1.732051,0,-3.464102,-1.732051,0,-1.732051,0,cluster1
42,3.464102,0,0,1.732051,1.732051,-1.732051,-1.732051,1.732051,0,0,1,cluster1
43,0,1.732051,0,3.464102,-1.732051,0,-5.196152,-5.196152,0,-1.732051,0,cluster0
44,3.464102,0,1.732051,0,-1.732051,-1.732051,-1.732051,0,0,0,1,cluster1
45,1.732051,1.732051,3.464102,0,-1.732051,-1.732051,-3.464102,-1.732051,0,0,0,cluster1
46,0,1.732051,1.732051,3.464102,0,0,-3.464102,-3.464102,0,-3.464102,1,cluster0
47,5.196152,0,1.732051,1.732051,-1.732051,-1.732051,0,0,0,1.732051,1,cluster1
48,0,1.732051,1.732051,3.464102,-1.732051,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
49,1.732051,1.732051,1.732051,0,-1.732051,-3.464102,-5.196152,-1.732051,0,0,0,cluster1
50,3.464102,1.732051,1.732051,1.732051,0,-1.732051,-1.732051,1.732051,0,-1.732051,1,cluster1
51,1.732051,0,3.464102,-1.732051,-1.732051,0,-3.464102,-1.732051,1.732051,0,0,cluster1
52,3.464102,1.732051,1.732051,1.732051,-1.732051,-1.732051,-3.464102,0,0,-1.732051,0,cluster1
53,5.196152,0,1.732051,1.732051,0,-1.732051,1.732051,1.732051,0,1.732051,1,cluster1
54,1.732051,0,0,5.196152,-1.732051,0,0,-3.464102,0,0,0,cluster0
55,3.464102,0,3.464102,0,0,0,-1.732051,0,0,0,1,cluster1
56,1.732051,0,1.732051,1.732051,-3.464102,0,-1.732051,-5.196152,0,0,1,cluster0
57,0,0,0,0,-3.464102,0,-3.464102,-5.196152,0,0,0,cluster0
58,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,1,cluster0
59,0,0,0,1.732051,-1.732051,-1.732051,-3.464102,-3.464102,0,-1.732051,0,cluster0
60,0,1.732051,1.732051,1.732051,-3.464102,0,-5.196152,-5.196152,0,-3.464102,0,cluster0
