Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Source_8,Source_9,Source_10,Source_11,Source_12,Source_13,Source_14,Source_15,Source_16,Source_17,Source_18,Source_19,Source_20,Source_21,Source_22,Source_23,﻿Survived
0.001953,-0.015625,0.007813,-0.03125,0.011719,0.001221,0.035645,-0.01123,0.014893,0.006348,0,-0.003906,0.004395,-0.010742,0.017578,-0.018555,-0.003906,-0.005859,-0.049316,0.026733,0.042969,0.019531,-0.017578,-0.011719,0
-0.042969,0.005859,-0.027344,-0.018555,0.001953,0.01123,-0.054199,0.011719,0.049805,0.02002,-0.023438,-0.003906,0.01709,0.000977,-0.023438,0.009766,-0.013672,0.009766,0.032227,-0.057861,-0.027344,0.046875,-0.054688,-0.015625,0
0.044922,0.017578,0.021484,-0.012695,0.019531,0.042236,0.000977,0.011719,0.013428,-0.007324,0.02832,0.015625,0.025879,-0.037109,0.023438,-0.005859,0.009766,-0.023438,0.027344,-0.000122,0.003906,-0.011719,0.013672,0.050781,0
-0.005859,0.009766,-0.003906,0.003906,0.003906,-0.008057,0.019043,0.00293,-0.00415,-0.026367,0.012695,-0.023438,-0.040527,0.03125,0.007813,-0.024414,-0.003906,-0.007813,-0.004883,0.02478,-0.015625,0.015625,-0.013672,0.019531,0
-0.015625,0.042969,0.035156,0.006836,-0.011719,-0.014404,0.01709,0.049316,-0.022217,0.004395,-0.007813,-0.015625,0.055176,-0.022461,0.007813,-0.008789,0.037109,-0.021484,-0.025879,-0.002075,0.023438,0.011719,0.005859,-0.058594,0
-0.005859,0.009766,-0.003906,0.003906,0.003906,-0.008057,0.019043,0.00293,-0.00415,-0.026367,0.012695,-0.023438,-0.040527,0.03125,0.007813,-0.024414,-0.003906,-0.007813,-0.004883,0.02478,-0.015625,0.015625,-0.013672,0.019531,1
0.025391,-0.025391,-0.052734,-0.038086,0,-0.015137,-0.05127,-0.070313,-0.012695,0.030273,0.005859,0.015625,0.039551,0.023438,-0.023438,0.029297,0,-0.011719,0.009766,-0.083496,-0.085938,-0.035156,-0.003906,-0.03125,1
0.048828,-0.044922,-0.082031,0.092773,-0.027344,0.021973,0.041992,0.0625,0.040527,0.03418,0.032227,0.082031,0.038574,0.05957,-0.0625,-0.013672,-0.046875,-0.066406,-0.089844,0.044556,0.042969,-0.128906,0.015625,-0.078125,1
0.001953,-0.015625,0.007813,-0.03125,0.011719,0.001221,0.035645,-0.01123,0.014893,0.006348,0,-0.003906,0.004395,-0.010742,0.017578,-0.018555,-0.003906,-0.005859,-0.049316,0.026733,0.042969,0.019531,-0.017578,-0.011719,0
0.0625,-0.021484,0.009766,-0.018555,0.013672,-0.004395,-0.015137,0.054688,-0.015625,0.04541,-0.033203,0.011719,0.057617,0.019531,0.003906,0.001953,0.056641,-0.001953,0.001953,-0.040039,0.007813,-0.039063,-0.003906,-0.078125,1
0.048828,0.005859,-0.001953,0.022461,0.023438,0.001221,0.014648,-0.011719,-0.023193,-0.000977,0.023438,0,-0.041504,0.03125,0.019531,-0.025391,0.003906,-0.023438,0.016602,0.038696,-0.027344,-0.019531,-0.001953,0.015625,1
0.056641,-0.019531,0.009766,-0.012695,0.035156,0.010498,0.03125,-0.025879,-0.00415,0.032227,0.010742,0.019531,0.004395,-0.010742,0.029297,-0.018555,0.003906,-0.019531,-0.027832,0.040894,0.03125,-0.015625,-0.005859,-0.011719,0
-0.072266,0.048828,-0.003906,0.024414,0.003906,-0.018799,-0.011719,-0.040527,0.017822,0.022461,0.00293,0,-0.013672,-0.020508,-0.011719,-0.023438,-0.050781,-0.013672,0.007813,0.031982,-0.03125,0.042969,-0.033203,0.011719,0
-0.013672,-0.013672,0.017578,-0.038086,-0.009766,-0.041504,-0.01416,0.044922,0.010742,0.015625,-0.042969,-0.015625,0.025391,0.03418,-0.019531,-0.021484,0.001953,0.03125,-0.00293,-0.017822,-0.027344,-0.042969,0.003906,0.007813,0
0.041016,0,0.019531,-0.012695,0.027344,0.012451,0.01416,-0.019531,0.008057,0.010254,0.019531,0.019531,-0.001465,-0.016602,0.021484,-0.024414,-0.015625,-0.013672,0.008301,0.038452,-0.007813,-0.03125,0.013672,0.0625,1
0.068359,-0.041016,-0.003906,-0.057617,0.025391,0.04248,-0.026855,0.03125,0.039063,0.007813,-0.006836,0.015625,0.02832,0.004883,0.007813,0.005859,0.021484,0.009766,0.033203,-0.051758,0,-0.027344,-0.007813,0.03125,0
